Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
         7169953 function calls (6812947 primitive calls) in 46.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      344    0.010    0.000    0.178    0.001 threadpoolctl.py:680(_make_controller_from_path)
      812    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap>:176(cb)
     3804    0.010    0.000    0.010    0.000 fromnumeric.py:2100(_sum_dispatcher)
      500    0.009    0.000    0.053    0.000 registry.py:455(_define_adder)
      402    0.009    0.000    0.030    0.000 copy.py:66(copy)
     3707    0.009    0.000    0.009    0.000 definitions.py:152(name)
     1339    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:103(release)
     3811    0.009    0.000    0.009    0.000 inspect.py:2817(parameters)
      488    0.009    0.000    0.772    0.002 definitions.py:126(from_string)
      634    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.009    0.005    0.009    0.005 {built-in method posix.read}
     1157    0.009    0.000    0.015    0.000 registry.py:833(<genexpr>)
  118/101    0.009    0.000    0.054    0.001 {built-in method _imp.exec_dynamic}
      104    0.009    0.000    0.069    0.001 __init__.py:357(namedtuple)
     1864    0.009    0.000    0.032    0.000 _collections_abc.py:701(__len__)
        2    0.009    0.004    0.018    0.009 unicode.py:63(<listcomp>)
     1031    0.009    0.000    0.014    0.000 sre_parse.py:963(expand_template)
     1771    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(parent)
       12    0.009    0.001    0.268    0.022 artist.py:1262(get_aliases)
        2    0.009    0.004    0.021    0.010 force_constants.py:1199(_get_q_dirs)
      635    0.009    0.000    0.044    0.000 tokenize.py:464(tokenize)
     1629    0.009    0.000    0.013    0.000 _weakrefset.py:81(add)
  497/488    0.009    0.000    0.067    0.000 registry.py:369(_define)
     1586    0.008    0.000    0.012    0.000 _weakrefset.py:20(__enter__)
      914    0.008    0.000    0.036    0.000 _collections_abc.py:712(_from_iterable)
     3016    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      714    0.008    0.000    0.019    0.000 posixpath.py:64(isabs)
      325    0.008    0.000    0.052    0.000 util.py:670(operate)
      176    0.008    0.000    0.016    0.000 posixpath.py:338(normpath)
     3114    0.008    0.000    0.008    0.000 {method 'values' of 'mappingproxy' objects}
     1103    0.008    0.000    0.030    0.000 {method 'setdefault' of 'dict' objects}
     1126    0.008    0.000    0.023    0.000 colors.py:124(_is_nth_color)
      758    0.008    0.000    0.029    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1406    0.008    0.000    0.008    0.000 {built-in method posix.lstat}
      224    0.008    0.000    0.033    0.000 sre_compile.py:482(_compile_info)
  521/246    0.008    0.000    0.057    0.000 typing.py:580(_subs_tree)
     1241    0.008    0.000    0.118    0.000 __init__.py:655(__setitem__)
  497/488    0.008    0.000    0.093    0.000 registry.py:1990(_define)
     3039    0.008    0.000    0.008    0.000 multiarray.py:311(where)
        1    0.008    0.008    0.029    0.029 registry.py:597(<dictcomp>)
      914    0.007    0.000    0.055    0.000 _collections_abc.py:496(__sub__)
      812    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap>:58(__init__)
     2674    0.007    0.000    0.008    0.000 {built-in method builtins.max}
      808    0.007    0.000    0.044    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2406    0.007    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     1258    0.007    0.000    0.078    0.000 util.py:561(eval_token)
      422    0.007    0.000    0.057    0.000 sre_compile.py:223(_compile_charset)
     2694    0.007    0.000    0.007    0.000 {built-in method _thread.get_ident}
     1268    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     2942    0.007    0.000    0.007    0.000 inspect.py:2506(default)
       11    0.007    0.001    0.022    0.002 util.py:251(<setcomp>)
      752    0.007    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     1088    0.007    0.000    0.095    0.000 registry.py:341(UnitsContainer)
      752    0.007    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      987    0.007    0.000    0.007    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1023    0.007    0.000    0.015    0.000 definitions.py:259(<genexpr>)
      382    0.007    0.000    0.026    0.000 inspect.py:1787(_signature_bound_method)
     1190    0.007    0.000    0.870    0.001 registry.py:1000(parse_unit_name)
