ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 0.8561052618722713 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 14138.67479339701 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
         120478145 function calls (120400695 primitive calls) in 975.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36557    0.140    0.000    0.142    0.000 re.py:324(_subx)
    12106    0.140    0.000    0.960    0.000 registry.py:1352(<listcomp>)
    22853    0.139    0.000    7.448    0.000 quantity.py:94(wrapped)
    51746    0.139    0.000    0.139    0.000 {method 'pop' of 'dict' objects}
    35895    0.138    0.000    0.138    0.000 {method 'decode' of 'bytes' objects}
    54083    0.137    0.000    0.137    0.000 {method 'lstrip' of 'str' objects}
      123    0.136    0.001    4.591    0.037 threadpoolctl.py:561(_find_libraries_with_dl_iterate_phdr)
      240    0.135    0.001    6.626    0.028 util.py:259(<dictcomp>)
    10851    0.132    0.000    0.374    0.000 fromnumeric.py:70(_wrapreduction)
    47870    0.132    0.000    0.132    0.000 _collections_abc.py:698(__init__)
     9132    0.131    0.000    6.144    0.001 registry.py:920(convert)
    47973    0.130    0.000    0.130    0.000 {built-in method builtins.min}
    22099    0.130    0.000    6.661    0.000 quantity.py:1248(__mul__)
    10453    0.129    0.000    1.593    0.000 registry.py:1096(_parse_units)
    38284    0.128    0.000    0.128    0.000 {built-in method posix.fspath}
    24530    0.128    0.000    0.194    0.000 sre_parse.py:163(__getitem__)
    38701    0.122    0.000    0.122    0.000 util.py:404(__getitem__)
    22274    0.122    0.000    0.189    0.000 <string>:12(__new__)
     8407    0.122    0.000    0.257    0.000 posixpath.py:75(join)
20026/16474    0.121    0.000    0.232    0.000 artist.py:213(stale)
    37030    0.120    0.000    0.120    0.000 {method 'lower' of 'str' objects}
     8412    0.119    0.000    8.387    0.001 quantity.py:642(to)
    14555    0.112    0.000    1.353    0.000 registry.py:630(get_name)
27171/25229    0.109    0.000    0.253    0.000 {built-in method builtins.issubclass}
        2    0.106    0.053    0.106    0.053 {method 'encode' of 'ImagingEncoder' objects}
    34376    0.105    0.000    0.105    0.000 util.py:302(copy)
     7516    0.104    0.000    0.796    0.000 registry.py:793(_get_root_units)
    35377    0.102    0.000    0.102    0.000 sre_parse.py:232(__next)
     6147    0.102    0.000    0.281    0.000 numerictypes.py:360(issubdtype)
     9921    0.101    0.000    0.334    0.000 quantity.py:458(units)
    39709    0.101    0.000    0.101    0.000 converters.py:18(is_multiplicative)
    12294    0.100    0.000    0.157    0.000 numerictypes.py:286(issubclass_)
        2    0.099    0.050    0.099    0.050 {built-in method _tkinter.create}
    15072    0.098    0.000    0.145    0.000 numeric.py:1358(<listcomp>)
    20876    0.096    0.000    0.096    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    27026    0.095    0.000    0.095    0.000 {method 'mro' of 'type' objects}
 4557/456    0.095    0.000    0.280    0.001 registry.py:722(_get_dimensionality_recurse)
    12376    0.092    0.000    0.158    0.000 castep.py:553(record_mark_read)
        2    0.092    0.046    0.451    0.225 castep.py:332(read_interpolation_data)
      712    0.090    0.000    0.090    0.000 {built-in method marshal.loads}
     4569    0.090    0.000    0.236    0.000 tokenize.py:355(detect_encoding)
27406/27389    0.089    0.000    0.117    0.000 {method 'join' of 'str' objects}
    22837    0.088    0.000    0.088    0.000 {method 'rfind' of 'str' objects}
    17735    0.087    0.000    0.130    0.000 sre_parse.py:171(append)
     2072    0.086    0.000    0.442    0.000 validate.py:9(_check_constructor_inputs)
    34278    0.084    0.000    0.084    0.000 inspect.py:2502(name)
     4567    0.083    0.000    0.383    0.000 tokenize.py:464(tokenize)
2663/2456    0.083    0.000    1.146    0.000 {built-in method builtins.__build_class__}
     6053    0.082    0.000    3.788    0.001 registry.py:1392(_convert)
    14790    0.080    0.000    0.167    0.000 enum.py:267(__call__)
    28145    0.078    0.000    0.078    0.000 einsumfunc.py:989(_einsum_dispatcher)
    22734    0.078    0.000    0.078    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     4972    0.078    0.000  510.582    0.103 numpy_func.py:41(_is_sequence_with_quantity_elements)
10180/8334    0.078    0.000    4.853    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
25259/24862    0.077    0.000    0.573    0.000 {built-in method builtins.next}
     3943    0.076    0.000    3.453    0.001 registry.py:1223(parse_expression)
    31222    0.076    0.000    0.076    0.000 {method 'strip' of 'bytes' objects}
        2    0.074    0.037    0.437    0.219 force_constants.py:967(_dipole_correction_init)
    10453    0.074    0.000    1.667    0.000 registry.py:1301(_parse_units)
     8742    0.074    0.000    0.138    0.000 <__array_function__ internals>:2(where)
     8330    0.074    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1594    0.073    0.000    0.368    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
  775/671    0.073    0.000    0.452    0.001 posixpath.py:400(_joinrealpath)
     1566    0.072    0.000    0.350    0.000 artist.py:972(update)
     5207    0.072    0.000    0.775    0.000 registry.py:1138(_eval_token)
      881    0.071    0.000    0.546    0.001 <frozen importlib._bootstrap>:870(_find_spec)
     8330    0.071    0.000    0.219    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     2688    0.069    0.000    0.156    0.000 validate.py:92(_replace_dim)
    24853    0.069    0.000    0.069    0.000 {method 'endswith' of 'str' objects}
     7536    0.069    0.000    1.041    0.000 <__array_function__ internals>:2(moveaxis)
5436/1507    0.068    0.000    0.105    0.000 sre_parse.py:173(getwidth)
     7610    0.067    0.000    0.361    0.000 fromnumeric.py:2105(sum)
8385/4567    0.067    0.000    1.425    0.000 pint_eval.py:67(evaluate)
    21664    0.066    0.000    0.132    0.000 __init__.py:686(__getitem__)
 2960/429    0.066    0.000    0.294    0.001 registry.py:865(_get_root_units_recurse)
    10318    0.066    0.000    0.281    0.000 {built-in method builtins.sorted}
    24716    0.065    0.000    0.065    0.000 quantity.py:1968(_ok_for_muldiv)
    26050    0.065    0.000    0.065    0.000 {built-in method builtins.ord}
    23508    0.065    0.000    0.065    0.000 {method 'rstrip' of 'str' objects}
    21834    0.064    0.000    0.064    0.000 {method 'replace' of 'str' objects}
     6188    0.064    0.000    0.241    0.000 castep.py:530(_read_entry)
     7610    0.063    0.000    0.487    0.000 <__array_function__ internals>:2(sum)
     4316    0.063    0.000    0.351    0.000 registry.py:1071(parse_units)
    16193    0.063    0.000    0.126    0.000 {built-in method builtins.setattr}
    23196    0.062    0.000    0.062    0.000 {method 'get' of 'dict' objects}
    22095    0.060    0.000    0.060    0.000 quantity.py:187(UnitsContainer)
      246    0.060    0.000    0.127    0.001 util.py:56(is_gamma)
     2486    0.059    0.000  513.596    0.207 quantity.py:1643(__array_ufunc__)
     9132    0.059    0.000    6.202    0.001 quantity.py:604(_convert_magnitude_not_inplace)
     7111    0.058    0.000    0.114    0.000 posixpath.py:168(islink)
     5121    0.058    0.000    0.160    0.000 enum.py:803(__and__)
    10221    0.058    0.000    3.882    0.000 _asarray.py:14(asarray)
     2970    0.057    0.000    0.424    0.000 unit.py:176(__mul__)
     2486    0.056    0.000    0.816    0.000 numpy_func.py:133(get_op_output_unit)
   1312/1    0.056    0.000  975.968  975.968 {built-in method builtins.exec}
    10015    0.055    0.000    0.109    0.000 validate.py:58(_check_unit_conversion)
    18549    0.054    0.000    0.054    0.000 {method 'read' of '_io.BufferedReader' objects}
18341/17505    0.054    0.000    0.090    0.000 {built-in method builtins.hash}
    12256    0.053    0.000    1.939    0.000 re.py:286(_compile)
     2488    0.053    0.000  255.666    0.103 numpy_func.py:61(_get_first_input_units)
     2488    0.052    0.000  255.339    0.103 numpy_func.py:97(convert_to_consistent_units)
     1174    0.052    0.000    0.229    0.000 inspect.py:2102(_signature_from_function)
     9226    0.051    0.000    1.817    0.000 re.py:231(compile)
     8509    0.051    0.000    0.217    0.000 tokenize.py:152(_compile)
    20080    0.051    0.000    0.051    0.000 artist.py:796(get_animated)
    10766    0.050    0.000    0.076    0.000 mathtext.py:2839(<genexpr>)
      967    0.050    0.000    1.163    0.001 shape_base.py:1171(tile)
  196/190    0.050    0.000    0.425    0.002 {method 'call' of '_tkinter.tkapp' objects}
      122    0.050    0.000  226.594    1.857 force_constants.py:161(calculate_qpoint_phonon_modes)
 3212/900    0.049    0.000    3.221    0.004 deprecation.py:384(wrapper)
      607    0.048    0.000    3.426    0.006 crystal.py:106(reciprocal_cell)
 1870/240    0.048    0.000    0.167    0.001 abc.py:196(__subclasscheck__)
     1305    0.048    0.000    0.095    0.000 functools.py:44(update_wrapper)
  124/123    0.048    0.000    0.064    0.001 {built-in method _imp.create_dynamic}
     2202    0.047    0.000    1.769    0.001 registry.py:1052(_dedup_candidates)
     4974    0.046    0.000  255.235    0.051 numpy_func.py:72(convert_arg)
    14775    0.045    0.000    0.052    0.000 enum.py:517(__new__)
     3823    0.044    0.000    0.095    0.000 inspect.py:2452(__init__)
    15106    0.044    0.000    0.044    0.000 {built-in method _operator.index}
      824    0.043    0.000    0.093    0.000 pathlib.py:51(parse_parts)
     1975    0.043    0.000    0.321    0.000 formatting.py:261(format_unit)
     2956    0.042    0.000    0.048    0.000 __init__.py:360(__getitem__)
     4571    0.042    0.000    0.074    0.000 tokenize.py:385(find_cookie)
     4212    0.042    0.000    0.042    0.000 {built-in method posix.stat}
     2956    0.041    0.000    0.107    0.000 __init__.py:353(__getattr__)
    16943    0.041    0.000    0.041    0.000 inspect.py:2506(default)
     3888    0.041    0.000    0.073    0.000 __init__.py:2045(_setattr_cm)
     9630    0.041    0.000    0.055    0.000 validate.py:46(<genexpr>)
     5457    0.039    0.000   63.793    0.012 <__array_function__ internals>:2(einsum)
     4910    0.039    0.000    0.039    0.000 {built-in method numpy.empty}
     6053    0.038    0.000    0.160    0.000 util.py:266(find_shortest_path)
     2829    0.038    0.000    0.299    0.000 validate.py:159(_get_dtype)
     5207    0.038    0.000    0.812    0.000 registry.py:1264(<lambda>)
     5132    0.038    0.000    0.205    0.000 validate.py:52(<genexpr>)
     7462    0.038    0.000  255.273    0.034 numpy_func.py:107(<genexpr>)
     1975    0.037    0.000    0.233    0.000 formatting.py:120(formatter)
     3250    0.037    0.000    1.780    0.001 fromnumeric.py:52(_wrapfunc)
     2488    0.037    0.000  513.480    0.206 numpy_func.py:905(numpy_wrap)
     7458    0.037    0.000    0.052    0.000 quantity.py:1650(<genexpr>)
     7111    0.037    0.000    0.037    0.000 {built-in method posix.lstat}
     1036    0.036    0.000    0.075    0.000 __init__.py:1682(normalize_kwargs)
      610    0.036    0.000    0.060    0.000 sre_compile.py:250(_optimize_charset)
  789/266    0.036    0.000    0.967    0.004 sre_parse.py:407(_parse_sub)
     7462    0.036    0.000    0.050    0.000 numpy_func.py:919(<genexpr>)
     6053    0.036    0.000    0.052    0.000 weakref.py:148(__len__)
     2686    0.036    0.000    0.140    0.000 util.py:483(__pow__)
      485    0.035    0.000    1.204    0.002 qpoint_frequencies.py:37(__init__)
     5457    0.035    0.000   63.552    0.012 einsumfunc.py:997(einsum)
       32    0.035    0.001    0.174    0.005 __init__.py:794(_rc_params_in_file)
     6053    0.035    0.000    0.127    0.000 __init__.py:897(__bool__)
      732    0.034    0.000    0.208    0.000 quantity.py:1434(__pow__)
      679    0.034    0.000    0.065    0.000 posixpath.py:338(normpath)
    10874    0.034    0.000    0.034    0.000 {method 'split' of 'str' objects}
     1105    0.034    0.000    0.285    0.000 quantity.py:1271(__rtruediv__)
     1620    0.033    0.000    0.075    0.000 inspect.py:2732(__init__)
    10851    0.033    0.000    0.033    0.000 fromnumeric.py:71(<dictcomp>)
1705/1203    0.033    0.000    0.342    0.000 inspect.py:2183(_signature_from_callable)
      250    0.032    0.000    0.032    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    10815    0.032    0.000    0.032    0.000 {method 'expandtabs' of 'str' objects}
     5696    0.032    0.000    0.046    0.000 __init__.py:2254(_check_in_list)
    11688    0.032    0.000    0.032    0.000 {method 'isidentifier' of 'str' objects}
    12382    0.032    0.000    0.032    0.000 {built-in method _struct.unpack}
        1    0.031    0.031    1.738    1.738 registry.py:593(_build_cache)
      648    0.031    0.000    0.110    0.000 font_manager.py:680(__init__)
      768    0.030    0.000    0.065    0.000 version.py:261(__init__)
3287/3207    0.030    0.000    0.050    0.000 typing.py:1164(__setattr__)
     7436    0.030    0.000    0.041    0.000 sre_parse.py:248(match)
     6104    0.029    0.000    0.036    0.000 {method 'format' of 'str' objects}
     4496    0.029    0.000    0.049    0.000 _asarray.py:86(asanyarray)
     5778    0.029    0.000    0.103    0.000 _collections_abc.py:701(__len__)
     8175    0.029    0.000    0.029    0.000 {method 'splitlines' of 'str' objects}
     7936    0.029    0.000    0.029    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     4972    0.029    0.000    0.044    0.000 util.py:1017(iterable)
     8385    0.028    0.000    0.028    0.000 pint_eval.py:49(__init__)
     1824    0.028    0.000    0.050    0.000 util.py:918(getattr_maybe_raise)
     4115    0.028    0.000    0.079    0.000 qpoint_frequencies.py:86(__setattr__)
      845    0.028    0.000    0.124    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     4972    0.027    0.000    0.041    0.000 util.py:1039(sized)
      231    0.027    0.000    0.027    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1424    0.027    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      264    0.027    0.000    0.289    0.001 lines.py:269(__init__)
    10156    0.027    0.000    0.027    0.000 util.py:299(__missing__)
